"file","name","parameters","returns","side_effects","version","notes"
"config.py","Config","(dataclass; fields: data_root: str='data', out_root: str='out', state_root: str='state', universe: dict, data: dict, features: dict, ops: dict, expr: dict, fitness: dict, gp: dict, cache: dict, parallel: dict, logging: dict)","Config","NONE","v0.1","全局配置对象；字段名可在实现中扩展但需保持向后兼容；用于所有模块读取统一口径（股票池/窗口集/FAST→FULL门控/缓存预算/并行worker数/keep_last=252等）。"
"config.py","load_config","(path: str)","Config","READ_DISK","v0.1","从本地配置文件（建议YAML/JSON）加载Config；实现需做字段校验与默认值填充；失败模式：缺失关键字段/类型不匹配需抛明确异常。"
"config.py","dump_config","(cfg: Config, path: str)","None","WRITE_DISK","v0.1","将Config序列化落盘，供checkpoint引用；要求原子写入，避免中断导致配置损坏。 [HEURISTIC_FIX_NEEDS_REVIEW]"
"config.py","config_fingerprint","(cfg: Config)","str","NONE","v0.1","生成配置指纹（如sha256），用于manifest/checkpoint可追溯；指纹变化应触发缓存失效与增量保护。"
"run_mine.py","main","(argv: list[str] | None = None)","int","READ_DISK|WRITE_DISK|NETWORK","v0.1","主入口：增量拉数→构建/更新panel→(可选)物化缓存→GP round/gen→更新因子库→落盘+滚动维护+checkpoint；必须只处理新增交易日/新增round-gen，禁止全量重算。"
"run_mine.py","run_mining","(cfg: Config)","dict[str, Any]","READ_DISK|WRITE_DISK|NETWORK","v0.1","可被测试/外部调用的挖掘流程封装；返回本次run摘要（处理日期范围、round/gen、候选数量、入库数量、缓存命中率、耗时等）。"
"run_report.py","main","(argv: list[str] | None = None)","int","READ_DISK|WRITE_DISK","v0.1","研究复核入口：对因子库快照生成非交易报告（IC统计、分年、衰减、覆盖率、稳定性等），输出CSV/JSON/Markdown至少CSV；不得生成下单/调仓指令。"
"run_report.py","run_report","(cfg: Config, library_path: str)","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","对指定因子库快照进行复核；需严格按交易日对齐与样本过滤规则输出指标；失败模式：样本量不足/缺失率过高需记录并跳过。"
"scripts/download_data.py","main","(argv: list[str] | None = None)","int","READ_DISK|WRITE_DISK|NETWORK","v0.1","脚本入口：调用src/api与src/store完成一次性/增量下载原始数据，写入data/raw与data/metadata；必须幂等、可断点续跑。"
"scripts/download_data.py","download_incremental","(cfg: Config, start: str, end: str)","dict[str, Any]","READ_DISK|WRITE_DISK|NETWORK","v0.1","增量下载OHLCV/amount/复权/停牌/涨跌停/行业/市值等；只请求缺失交易日；写入分区文件并记录版本hash与字段映射。"
"scripts/build_panel.py","main","(argv: list[str] | None = None)","int","READ_DISK|WRITE_DISK","v0.1","脚本入口：从raw构建/更新panel(date×code)与基础特征到data/panel；要求增量更新与滚动保留(keep_last=252默认)。"
"scripts/build_panel.py","build_panel_incremental","(cfg: Config, start: str, end: str)","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","增量构建面板与基础特征；必须保证date×code对齐、字段dtype稳定、缺失/停牌处理符合data_contract；返回构建摘要（覆盖率、缺失率、耗时）。"
"scripts/plan_cache.py","main","(argv: list[str] | None = None)","int","READ_DISK|WRITE_DISK","v0.1","脚本入口：对指定表达式集合输出缓存计划(manifest)到out/cache_plan；不做物化。"
"scripts/plan_cache.py","plan_cache_for_library","(cfg: Config, expressions: list[str], budget_bytes: int)","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","缓存规划：识别公共子表达式hash→估计成本/存储→在预算约束下选取物化集合；manifest需包含失效规则（依赖的raw/panel版本与cfg_fingerprint）。"
"scripts/materialize_cache.py","main","(argv: list[str] | None = None)","int","READ_DISK|WRITE_DISK","v0.1","脚本入口：按manifest物化中间量到data/cache；输出命中率与节省估计。"
"scripts/materialize_cache.py","materialize_from_manifest","(cfg: Config, manifest_path: str)","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","读取manifest并逐项计算落盘；失败项需记录原因（缺失数据/数值错误/资源不足）；返回物化统计（成功率、耗时、bytes）。"
"scripts/export_library.py","main","(argv: list[str] | None = None)","int","READ_DISK|WRITE_DISK","v0.1","脚本入口：把当前因子库快照导出为独立CSV/JSON（expression+核心指标+hash+版本信息），便于下游复用或人工审查。"
"scripts/export_library.py","export_library_snapshot","(cfg: Config, snapshot_path: str, out_path: str)","None","WRITE_DISK","v0.1","导出指定快照；需保持字段稳定（expr, fitness, ic, icir, n, miss, max_corr, len, depth, created_at等）。"
"src/api/rate_limit.py","RateLimitError","(Exception)","RateLimitError","NONE","v0.1","API错误分类：限流/超时/网络错误；用于上层重试与降级。"
"src/api/rate_limit.py","with_retry","(fn: Callable[[], Any], *, max_tries: int = 5, backoff_s: float = 0.5, timeout_s: float = 30.0, retry_on: tuple[type[Exception], (cfg: Config)] = (Exception,))","Any","NONE","v0.1","通用重试包装器（指数退避可选）；实现需区分可重试与不可重试错误并记录日志；用于myquant_io统一容错。 [CONTRACT_NORMALIZED_V0_1_NEEDS_REVIEW]"
"src/api/rate_limit.py","RateLimiter","(per_second: float, burst: int = 1)","RateLimiter","NONE","v0.1","简单令牌桶节流器；用于控制外部数据源请求频率，避免被封；多进程场景下需注意进程间独立限流或集中限流策略。"
"src/api/myquant_io.py","MyQuantIO","(class; init(session: Any, *, timeout_s: float = 30.0))","MyQuantIO","NETWORK","v0.1","掘金SDK适配层对象；对外只暴露本项目内部希望的接口；实现时需根据MyQuant文档/用户提供的签名映射到真实参数名与字段。"
"src/api/myquant_io.py","create_myquant_io","(cfg: Config)","MyQuantIO","NETWORK","v0.1","根据cfg创建MyQuantIO（鉴权/环境/端点等）；失败模式：鉴权失败/网络不可用需抛明确异常并在run层终止或降级。"
"src/api/myquant_io.py","trade_days","(io: MyQuantIO, start: str, end: str, *, calendar: str = 'CN')","list[str]","NETWORK","v0.1","获取[start,end]交易日（YYYY-MM-DD）；必须稳定、可缓存；实现时需映射到数据源真实日历接口。"
"src/api/myquant_io.py","ohlcv","(io: MyQuantIO, symbols: list[str], start: str, end: str, *, fields: list[str] = ['open','high','low','close','volume','amount'], adj: str = 'none')","pd.DataFrame(date×code×field, float32/float64)","NETWORK","v0.1","拉取日频OHLCV/amount；adj为内部口径（none/pre/post等），实现需映射到MyQuant真实复权参数；需保证字段齐全、时区/交易日对齐。"
"src/api/myquant_io.py","index_members","(io: MyQuantIO, index: str, start: str, end: str, *, as_of: str = 'trade_date')","pd.DataFrame(date×code, bool)","NETWORK","v0.1","获取指数成分随时间变化（如CSI500）；返回成员矩阵或长表；用于滚动股票池构建。"
"src/api/myquant_io.py","industry_map","(io: MyQuantIO, symbols: list[str], start: str, end: str, *, scheme: str = 'SW_L1')","pd.DataFrame(date×code, category)","NETWORK","v0.1","行业分类映射（如申万一级）；用于中性化行业哑变量；需处理行业变更与缺失。"
"src/api/myquant_io.py","market_cap","(io: MyQuantIO, symbols: list[str], start: str, end: str, *, float_mcap: bool = True)","pd.DataFrame(date×code, float32)","NETWORK","v0.1","市值/流通市值时间序列；中性化使用ln(mcap)；需处理停牌/缺失并记录覆盖率。"
"src/calendar.py","get_trade_days","(io: MyQuantIO | None, start: str, end: str, *, calendar: str = 'CN')","list[str]","NETWORK","v0.1","交易日历工具：优先用io获取并落盘缓存；无io时从本地缓存读取；必须可重复与可追溯。"
"src/calendar.py","is_trade_day","(date: str, trade_days: list[str])","bool","NONE","v0.1","判断是否交易日；用于增量处理边界。"
